"Index","Company","TypeName","Inches","resolution_width","resolution_height","touchscreen","cpu_brand","cpu_name","cpu_speed","Ram","memory_type","primary_storage","secondary_storage","gpu_brand","gpu_name","OpSys","Weight","Price"
1,"Apple","Ultrabook",13.3,1600,2560,0,"Intel","Core i5",2.3,8,"SSD",128,0,"Intel"," Iris Plus Graphics 640","MacOS",1.0,71379
2,"Apple","Ultrabook",13.3,900,1440,0,"Intel","Core i5",1.8,8,"Flash Storage",128,0,"Intel"," HD Graphics 6000","MacOS",1.0,47896
3,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i5",2.5,8,"SSD",256,0,"Intel"," HD Graphics 620","N/A",2.0,30636
4,"Apple","Ultrabook",15.4,1800,2880,0,"Intel","Core i7",2.7,16,"SSD",512,0,"AMD"," Radeon Pro 455","MacOS",2.0,135195
5,"Apple","Ultrabook",13.3,1600,2560,0,"Intel","Core i5",3.1,8,"SSD",256,0,"Intel"," Iris Plus Graphics 650","MacOS",1.0,96096
6,"Acer","Notebook",15.6,768,1366,0,"AMD","A9-Series 9420",3.0,4,"HDD",500,0,"AMD"," Radeon R5","Windows",2.0,21312
7,"Apple","Ultrabook",15.4,1800,2880,0,"Intel","Core i7",2.2,16,"Flash Storage",256,0,"Intel"," Iris Pro Graphics","MacOS",2.0,114018
8,"Apple","Ultrabook",13.3,900,1440,0,"Intel","Core i5",1.8,8,"Flash Storage",256,0,"Intel"," HD Graphics 6000","MacOS",1.0,61736
9,"Asus","Ultrabook",14.0,1080,1920,0,"Intel","Core i7",1.8,16,"SSD",512,0,"Nvidia"," GeForce MX150","Windows",1.0,79654
10,"Acer","Ultrabook",14.0,1080,1920,0,"Intel","Core i5",1.6,8,"SSD",256,0,"Intel"," UHD Graphics 620","Windows",2.0,41026
11,"HP","Notebook",15.6,768,1366,0,"Intel","Core i5",2.5,4,"HDD",500,0,"Intel"," HD Graphics 620","N/A",2.0,20987
12,"HP","Notebook",15.6,1080,1920,0,"Intel","Core i3",2.0,4,"HDD",500,0,"Intel"," HD Graphics 520","N/A",2.0,18381
